,year,franchise,kpg
438,1928,CIN,2.156862745
439,1928,CLE,2.64516129
440,1928,DET,2.811688312
441,1928,LAD,3.290322581
442,1928,MIN,2.483870968
443,1928,NYY,3.590909091
444,1928,OAK,2.843137255
445,1928,PHI,3.355263158
446,1928,PIT,2.315789474
447,1928,SFG,2.425806452
448,1928,STL,2.844155844
449,1929,ATL,2.805194805
450,1929,BAL,2.746753247
451,1929,BOS,3.187096774
452,1929,CHC,3.634615385
453,1929,CHW,2.763157895
454,1929,CIN,2.238709677
455,1929,CLE,2.289473684
456,1929,DET,3.180645161
457,1929,LAD,2.967320261
458,1929,MIN,2.594771242
459,1929,NYY,3.25974026
460,1929,OAK,2.913907285
461,1929,PHI,3.051948052
462,1929,PIT,2.175324675
463,1929,SFG,2.664473684
464,1929,STL,2.954545455
465,1930,ATL,2.577922078
466,1930,BAL,3.551948052
467,1930,BOS,3.61038961
468,1930,CHC,4.070512821
469,1930,CHW,3.103896104
470,1930,CIN,3.175324675
471,1930,CLE,2.987012987
472,1930,DET,3.292207792
473,1930,LAD,3.512987013
474,1930,MIN,2.844155844
475,1930,NYY,3.694805195
476,1930,OAK,3.448051948
477,1930,PHI,2.942307692
478,1930,PIT,2.915584416
479,1930,SFG,2.480519481
480,1930,STL,3.220779221
481,1931,ATL,2.756410256
482,1931,BAL,3.753246753
483,1931,BOS,3.692810458
484,1931,CHC,4.108974359
485,1931,CHW,2.820512821
486,1931,CIN,3.006493506
487,1931,CLE,2.774193548
488,1931,DET,3.025974026
489,1931,LAD,3.346405229
490,1931,MIN,2.923076923
491,1931,NYY,3.574193548
492,1931,OAK,3.549019608
493,1931,PHI,3.174193548
494,1931,PIT,2.929032258
495,1931,SFG,2.581699346
496,1931,STL,3.084415584
497,1932,ATL,3.2
498,1932,BAL,3.428571429
499,1932,BOS,3.487012987
500,1932,CHC,3.337662338
501,1932,CHW,2.526315789
502,1932,CIN,2.812903226
503,1932,CLE,2.967320261
504,1932,DET,3.405228758
505,1932,LAD,3.727272727
506,1932,MIN,2.87012987
507,1932,NYY,3.371794872
508,1932,OAK,4.084415584
509,1932,PHI,3.551948052
510,1932,PIT,2.5
511,1932,SFG,2.538961039
512,1932,STL,3.294871795
513,1933,ATL,2.743589744
514,1933,BAL,3.62745098
515,1933,BOS,3.120805369
516,1933,CHC,3.084415584
517,1933,CHW,2.774834437
518,1933,CIN,2.31372549
519,1933,CLE,2.82781457
520,1933,DET,3.4
521,1933,LAD,2.885350318
522,1933,MIN,2.588235294
523,1933,NYY,3.335526316
524,1933,OAK,4.078947368
525,1933,PHI,3.151315789
526,1933,PIT,2.168831169
527,1933,SFG,3.057692308
528,1933,STL,3.428571429
529,1934,ATL,2.894736842
530,1934,BAL,4.090909091
531,1934,BOS,3.496732026
532,1934,CHC,4.144736842
533,1934,CHW,3.418300654
534,1934,CIN,3.5
535,1934,CLE,2.818181818
536,1934,DET,3.415584416
537,1934,LAD,3.62745098
538,1934,MIN,2.883870968
539,1934,NYY,3.909090909
540,1934,OAK,3.823529412
541,1934,PHI,3.583892617
542,1934,PIT,2.635761589
543,1934,SFG,3.437908497
