franchise,kpg,year
SPPOPDPNDYG,97.01492537,1984
SPPOPDPNDYG,97.76119403,1985
SPPOPDPNDYG,93.28358209,1982
SPPOPDPNDYG,95.52238806,1983
SPPOPDPNDYG,86.56716418,1980
SPPOPDPNDYG,90.29850746,1981
SPPOPDPNDYG,72.3880597,1964
SPPOPDPNDYG,70.14925373,1965
SPPOPDPNDYG,67.91044776,1966
SPPOPDPNDYG,65.67164179,1967
SPPOPDPNDYG,76.11940299,1960
SPPOPDPNDYG,76.11940299,1961
SPPOPDPNDYG,99.25373134,1988
SPPOPDPNDYG,98.50746269,1989
SPPOPDPNDYG,46.26865672,2001
SPPOPDPNDYG,0,2011
SPPOPDPNDYG,3.731343284,2010
SPPOPDPNDYG,0,2012
SPPOPDPNDYG,25.37313433,2005
SPPOPDPNDYG,63.43283582,1968
SPPOPDPNDYG,61.19402985,1969
SPPOPDPNDYG,91.79104478,1991
SPPOPDPNDYG,95.52238806,1990
SPPOPDPNDYG,80.59701493,1993
SPPOPDPNDYG,86.56716418,1992
SPPOPDPNDYG,70.14925373,1995
SPPOPDPNDYG,75.37313433,1994
SPPOPDPNDYG,61.94029851,1997
SPPOPDPNDYG,65.67164179,1996
SPPOPDPNDYG,55.2238806,1999
SPPOPDPNDYG,58.95522388,1998
SPPOPDPNDYG,60.44776119,1975
SPPOPDPNDYG,76.11940299,1978
SPPOPDPNDYG,57.46268657,1973
SPPOPDPNDYG,57.46268657,1972
SPPOPDPNDYG,58.20895522,1971
SPPOPDPNDYG,59.70149254,1970
SPPOPDPNDYG,41.04477612,2002
SPPOPDPNDYG,70.14925373,1977
SPPOPDPNDYG,50.74626866,2000
SPPOPDPNDYG,20.14925373,2006
SPPOPDPNDYG,15.67164179,2007
SPPOPDPNDYG,30.59701493,2004
SPPOPDPNDYG,82.08955224,1979
SPPOPDPNDYG,11.19402985,2008
SPPOPDPNDYG,7.462686567,2009
SPDYNCBRTIN,97.56097561,1976
SPDYNCBRTIN,10.97560976,2003
SPDYNCBRTIN,75.6097561,1962
SPDYNCBRTIN,73.17073171,1963
SPDYNCBRTIN,87.80487805,1974
SPDYNCBRTIN,63.41463415,1986
SPDYNCBRTIN,62.19512195,1987
SPDYNCBRTIN,69.51219512,1984
SPDYNCBRTIN,65.85365854,1985
SPDYNCBRTIN,79.26829268,1982
SPDYNCBRTIN,74.3902439,1983
SPDYNCBRTIN,91.46341463,1980
SPDYNCBRTIN,85.36585366,1981
SPDYNCBRTIN,70.73170732,1964
SPDYNCBRTIN,68.29268293,1965
SPDYNCBRTIN,67.07317073,1966
SPDYNCBRTIN,65.85365854,1967
SPDYNCBRTIN,80.48780488,1960
SPDYNCBRTIN,78.04878049,1961
SPDYNCBRTIN,59.75609756,1988
SPDYNCBRTIN,58.53658537,1989
SPDYNCBRTIN,15.85365854,2001
SPDYNCBRTIN,0,2011
SPDYNCBRTIN,1.219512195,2010
SPDYNCBRTIN,0,2012
SPDYNCBRTIN,7.317073171,2005
SPDYNCBRTIN,65.85365854,1968
SPDYNCBRTIN,67.07317073,1969
SPDYNCBRTIN,53.65853659,1991
SPDYNCBRTIN,56.09756098,1990
SPDYNCBRTIN,48.7804878,1993
SPDYNCBRTIN,51.2195122,1992
SPDYNCBRTIN,41.46341463,1995
SPDYNCBRTIN,45.12195122,1994
SPDYNCBRTIN,32.92682927,1997
SPDYNCBRTIN,37.80487805,1996
SPDYNCBRTIN,24.3902439,1999
SPDYNCBRTIN,29.26829268,1998
SPDYNCBRTIN,93.90243902,1975
SPDYNCBRTIN,98.7804878,1978
SPDYNCBRTIN,81.70731707,1973
SPDYNCBRTIN,76.82926829,1972
SPDYNCBRTIN,71.95121951,1971
SPDYNCBRTIN,68.29268293,1970
SPDYNCBRTIN,13.41463415,2002
SPDYNCBRTIN,100,1977
SPDYNCBRTIN,20.73170732,2000
SPDYNCBRTIN,6.097560976,2006
SPDYNCBRTIN,4.87804878,2007
SPDYNCBRTIN,8.536585366,2004
SPDYNCBRTIN,96.34146341,1979
SPDYNCBRTIN,3.658536585,2008
SPDYNCBRTIN,2.43902439,2009
AGPRDCROPXD,16.21349446,1976
AGPRDCROPXD,68.47935549,2003
AGPRDCROPXD,0.604229607,1962
AGPRDCROPXD,3.423967774,1963
AGPRDCROPXD,15.30715005,1974
AGPRDCROPXD,26.08257805,1986
AGPRDCROPXD,25.27693857,1987
AGPRDCROPXD,28.70090634,1984
AGPRDCROPXD,26.18328298,1985
AGPRDCROPXD,28.19738167,1982
AGPRDCROPXD,26.68680765,1983
AGPRDCROPXD,15.81067472,1980
AGPRDCROPXD,21.24874119,1981
AGPRDCROPXD,5.236656596,1964
AGPRDCROPXD,2.416918429,1965
AGPRDCROPXD,4.028197382,1966
AGPRDCROPXD,7.955689829,1967
AGPRDCROPXD,0,1960
AGPRDCROPXD,0,1961
AGPRDCROPXD,30.41289023,1988
AGPRDCROPXD,20.74521652,1989
AGPRDCROPXD,60.9264854,2001
AGPRDCROPXD,100,2011
AGPRDCROPXD,100,2010
AGPRDCROPXD,0,2012
AGPRDCROPXD,78.85196375,2005
AGPRDCROPXD,3.121852971,1968
AGPRDCROPXD,5.035246727,1969
AGPRDCROPXD,30.81570997,1991
AGPRDCROPXD,28.29808661,1990
AGPRDCROPXD,28.80161128,1993
AGPRDCROPXD,32.42698892,1992
AGPRDCROPXD,39.17421954,1995
AGPRDCROPXD,34.13897281,1994
AGPRDCROPXD,45.11581067,1997
AGPRDCROPXD,42.29607251,1996
AGPRDCROPXD,56.69687815,1999
AGPRDCROPXD,55.99194361,1998
AGPRDCROPXD,13.29305136,1975
AGPRDCROPXD,19.43605237,1978
AGPRDCROPXD,10.27190332,1973
AGPRDCROPXD,5.941591138,1972
AGPRDCROPXD,9.466263847,1971
AGPRDCROPXD,7.955689829,1970
AGPRDCROPXD,60.82578046,2002
AGPRDCROPXD,16.01208459,1977
AGPRDCROPXD,56.19335347,2000
AGPRDCROPXD,79.85901309,2006
AGPRDCROPXD,93.95770393,2007
AGPRDCROPXD,66.4652568,2004
AGPRDCROPXD,21.34944612,1979
AGPRDCROPXD,88.9224572,2008
AGPRDCROPXD,59.01309164,2009
SPDYNCDRTIN,90.97744361,1976
SPDYNCDRTIN,4.511278195,2003
SPDYNCDRTIN,78.19548872,1962
SPDYNCDRTIN,82.70676692,1963
SPDYNCDRTIN,93.98496241,1974
SPDYNCDRTIN,51.12781955,1986
SPDYNCDRTIN,49.62406015,1987
SPDYNCDRTIN,54.88721805,1984
SPDYNCDRTIN,52.63157895,1985
SPDYNCDRTIN,61.65413534,1982
SPDYNCDRTIN,57.89473684,1983
SPDYNCDRTIN,72.93233083,1980
SPDYNCDRTIN,66.91729323,1981
SPDYNCDRTIN,87.96992481,1964
SPDYNCDRTIN,92.48120301,1965
SPDYNCDRTIN,95.4887218,1966
SPDYNCDRTIN,98.4962406,1967
SPDYNCDRTIN,69.17293233,1960
SPDYNCDRTIN,72.93233083,1961
SPDYNCDRTIN,48.12030075,1988
SPDYNCDRTIN,45.11278195,1989
SPDYNCDRTIN,6.015037594,2001
SPDYNCDRTIN,0,2011
SPDYNCDRTIN,0.751879699,2010
SPDYNCDRTIN,0,2012
SPDYNCDRTIN,3.007518797,2005
SPDYNCDRTIN,99.2481203,1968
SPDYNCDRTIN,100,1969
SPDYNCDRTIN,37.59398496,1991
SPDYNCDRTIN,41.35338346,1990
SPDYNCDRTIN,27.81954887,1993
SPDYNCDRTIN,33.08270677,1992
SPDYNCDRTIN,19.54887218,1995
SPDYNCDRTIN,23.30827068,1994
SPDYNCDRTIN,12.78195489,1997
SPDYNCDRTIN,15.78947368,1996
SPDYNCDRTIN,8.270676692,1999
SPDYNCDRTIN,9.77443609,1998
SPDYNCDRTIN,93.23308271,1975
SPDYNCDRTIN,83.45864662,1978
SPDYNCDRTIN,95.4887218,1973
SPDYNCDRTIN,96.9924812,1972
SPDYNCDRTIN,97.7443609,1971
SPDYNCDRTIN,99.2481203,1970
SPDYNCDRTIN,5.263157895,2002
SPDYNCDRTIN,87.96992481,1977
SPDYNCDRTIN,6.766917293,2000
SPDYNCDRTIN,2.255639098,2006
SPDYNCDRTIN,1.503759398,2007
SPDYNCDRTIN,3.759398496,2004
SPDYNCDRTIN,78.19548872,1979
SPDYNCDRTIN,1.503759398,2008
SPDYNCDRTIN,0.751879699,2009
SPDYNTFRTIN,98.31932773,1976
SPDYNTFRTIN,11.76470588,2003
SPDYNTFRTIN,74.78991597,1962
SPDYNTFRTIN,73.94957983,1963
SPDYNTFRTIN,89.07563025,1974
SPDYNTFRTIN,73.1092437,1986
SPDYNTFRTIN,72.26890756,1987
SPDYNTFRTIN,77.31092437,1984
SPDYNTFRTIN,74.78991597,1985
SPDYNTFRTIN,84.87394958,1982
SPDYNTFRTIN,80.67226891,1983
SPDYNTFRTIN,94.95798319,1980
SPDYNTFRTIN,89.91596639,1981
SPDYNTFRTIN,73.1092437,1964
SPDYNTFRTIN,72.26890756,1965
SPDYNTFRTIN,71.42857143,1966
SPDYNTFRTIN,71.42857143,1967
SPDYNTFRTIN,76.47058824,1960
SPDYNTFRTIN,75.6302521,1961
SPDYNTFRTIN,70.58823529,1988
SPDYNTFRTIN,68.90756303,1989
SPDYNTFRTIN,18.48739496,2001
SPDYNTFRTIN,0,2011
SPDYNTFRTIN,1.680672269,2010
SPDYNTFRTIN,0,2012
SPDYNTFRTIN,7.56302521,2005
SPDYNTFRTIN,71.42857143,1968
SPDYNTFRTIN,72.26890756,1969
SPDYNTFRTIN,63.86554622,1991
SPDYNTFRTIN,66.38655462,1990
SPDYNTFRTIN,57.14285714,1993
SPDYNTFRTIN,60.50420168,1992
SPDYNTFRTIN,47.89915966,1995
SPDYNTFRTIN,52.94117647,1994
SPDYNTFRTIN,38.65546218,1997
SPDYNTFRTIN,43.69747899,1996
SPDYNTFRTIN,28.57142857,1999
SPDYNTFRTIN,33.61344538,1998
SPDYNTFRTIN,94.11764706,1975
SPDYNTFRTIN,100,1978
SPDYNTFRTIN,84.03361345,1973
SPDYNTFRTIN,79.83193277,1972
SPDYNTFRTIN,75.6302521,1971
SPDYNTFRTIN,73.1092437,1970
SPDYNTFRTIN,15.12605042,2002
SPDYNTFRTIN,100,1977
SPDYNTFRTIN,23.52941176,2000
SPDYNTFRTIN,5.882352941,2006
SPDYNTFRTIN,4.201680672,2007
SPDYNTFRTIN,9.243697479,2004
SPDYNTFRTIN,98.31932773,1979
SPDYNTFRTIN,3.361344538,2008
SPDYNTFRTIN,2.521008403,2009
AGPRDFOODXD,21.46464646,1976
AGPRDFOODXD,68.43434343,2003
AGPRDFOODXD,3.282828283,1962
AGPRDFOODXD,8.080808081,1963
AGPRDFOODXD,13.63636364,1974
AGPRDFOODXD,31.81818182,1986
AGPRDFOODXD,27.9040404,1987
AGPRDFOODXD,28.66161616,1984
AGPRDFOODXD,29.7979798,1985
AGPRDFOODXD,28.40909091,1982
AGPRDFOODXD,26.51515152,1983
AGPRDFOODXD,21.59090909,1980
AGPRDFOODXD,27.14646465,1981
AGPRDFOODXD,4.04040404,1964
AGPRDFOODXD,1.641414141,1965
AGPRDFOODXD,6.313131313,1966
AGPRDFOODXD,11.74242424,1967
AGPRDFOODXD,0,1960
AGPRDFOODXD,0,1961
AGPRDFOODXD,30.17676768,1988
AGPRDFOODXD,24.11616162,1989
AGPRDFOODXD,62.75252525,2001
AGPRDFOODXD,97.47474747,2011
AGPRDFOODXD,100,2010
AGPRDFOODXD,0,2012
AGPRDFOODXD,83.58585859,2005
AGPRDFOODXD,8.080808081,1968
AGPRDFOODXD,12.75252525,1969
AGPRDFOODXD,34.97474747,1991
AGPRDFOODXD,33.58585859,1990
AGPRDFOODXD,34.5959596,1993
AGPRDFOODXD,35.47979798,1992
AGPRDFOODXD,45.2020202,1995
AGPRDFOODXD,41.03535354,1994
AGPRDFOODXD,50.25252525,1997
AGPRDFOODXD,47.22222222,1996
AGPRDFOODXD,62.75252525,1999
AGPRDFOODXD,57.32323232,1998
AGPRDFOODXD,14.8989899,1975
AGPRDFOODXD,26.38888889,1978
AGPRDFOODXD,9.343434343,1973
AGPRDFOODXD,7.449494949,1972
AGPRDFOODXD,7.449494949,1971
AGPRDFOODXD,11.36363636,1970
AGPRDFOODXD,60.85858586,2002
AGPRDFOODXD,21.21212121,1977
AGPRDFOODXD,61.99494949,2000
AGPRDFOODXD,84.84848485,2006
AGPRDFOODXD,98.73737374,2007
AGPRDFOODXD,70.58080808,2004
AGPRDFOODXD,27.3989899,1979
AGPRDFOODXD,94.94949495,2008
AGPRDFOODXD,75.37878788,2009
AGLNDTOTLK2,1,1976
AGLNDTOTLK2,1,2003
AGLNDTOTLK2,1,1962
AGLNDTOTLK2,1,1963
AGLNDTOTLK2,1,1974
AGLNDTOTLK2,1,1986
AGLNDTOTLK2,1,1987
AGLNDTOTLK2,1,1984
AGLNDTOTLK2,1,1985
AGLNDTOTLK2,1,1982
AGLNDTOTLK2,1,1983
AGLNDTOTLK2,1,1980
AGLNDTOTLK2,1,1981
AGLNDTOTLK2,1,1964
AGLNDTOTLK2,1,1965
AGLNDTOTLK2,1,1966
AGLNDTOTLK2,1,1967
AGLNDTOTLK2,1,1960
AGLNDTOTLK2,1,1961
AGLNDTOTLK2,1,1988
AGLNDTOTLK2,1,1989
AGLNDTOTLK2,1,2001
AGLNDTOTLK2,1,2011
AGLNDTOTLK2,1,2010
AGLNDTOTLK2,0,2012
AGLNDTOTLK2,1,2005
AGLNDTOTLK2,1,1968
AGLNDTOTLK2,1,1969
AGLNDTOTLK2,1,1991
AGLNDTOTLK2,1,1990
AGLNDTOTLK2,1,1993
AGLNDTOTLK2,1,1992
AGLNDTOTLK2,1,1995
AGLNDTOTLK2,1,1994
AGLNDTOTLK2,1,1997
AGLNDTOTLK2,1,1996
AGLNDTOTLK2,1,1999
AGLNDTOTLK2,1,1998
AGLNDTOTLK2,1,1975
AGLNDTOTLK2,1,1978
AGLNDTOTLK2,1,1973
AGLNDTOTLK2,1,1972
AGLNDTOTLK2,1,1971
AGLNDTOTLK2,1,1970
AGLNDTOTLK2,1,2002
AGLNDTOTLK2,1,1977
AGLNDTOTLK2,1,2000
AGLNDTOTLK2,1,2006
AGLNDTOTLK2,1,2007
AGLNDTOTLK2,1,2004
AGLNDTOTLK2,1,1979
AGLNDTOTLK2,1,2008
AGLNDTOTLK2,1,2009
SPDYNLE00FEIN,31.57894737,1976
SPDYNLE00FEIN,87.71929825,2003
SPDYNLE00FEIN,2.631578947,1962
SPDYNLE00FEIN,4.385964912,1963
SPDYNLE00FEIN,26.31578947,1974
SPDYNLE00FEIN,54.38596491,1986
SPDYNLE00FEIN,56.14035088,1987
SPDYNLE00FEIN,50.87719298,1984
SPDYNLE00FEIN,52.63157895,1985
