indicator,value,year
SPPOPTOTL,16.14785992,1970
SPPOP0014TOZS,99.05660377,1970
SPPOP1564TOZS,0,1970
SPPOP65UPTOZS,21.30177515,1970
ENPOPDNST,16.19733033,1970
SPPOPGROW,62.4,1970
ENURBLCTY,25.606469,1970
ENURBLCTYURZS,75.43859649,1970
SPPOPTOTLFEZS,50,1970
SEPRMDURS,100,1970
SEPRMAGES,1,1970
SPRURTOTL,13.13868613,1970
SPRURTOTLZS,28.33333333,1970
SESECDURS,1,1970
SESECAGES,100,1970
AGSRFTOTLK2,1,1970
SPDYNTO65FEZS,20.42253521,1970
SPDYNTO65MAZS,16.73151751,1970
ITMLTMAIN,0.599366384,1970
ITMLTMAINP2,0.132774284,1970
SPURBTOTL,19.58333333,1970
SPURBTOTLINZS,71.66666667,1970
SPURBGROW,57.0977918,1970
NYADJDNGYCD,0.393057685,1971
NYADJDMINCD,0.046526018,1971
SPADOTFRT,82.67564966,1971
SPPOPDPND,98.16849817,1971
SPPOPDPNDOL,41.57894737,1971
SPPOPDPNDYG,97.87985866,1971
SPDYNCBRTIN,69.32773109,1971
AGPRDCROPXD,16.2057758,1971
SPDYNCDRTIN,69.01626646,1971
SPDYNTFRTIN,79.36507937,1971
AGPRDFOODXD,11.37979644,1971
AGLNDTOTLK2,1,1971
SPDYNLE00FEIN,21.00840336,1971
SPDYNLE00MAIN,18.05555556,1971
SPDYNLE00IN,19.82378855,1971
AGPRDLVSKXD,4.858398721,1971
ITCELSETS,0,1971
ITCELSETSP2,0,1971
SPPOPTOTL,17.89883268,1971
SPPOP0014TOZS,98.11320755,1971
SPPOP1564TOZS,1.075268817,1971
SPPOP65UPTOZS,23.66863905,1971
ENPOPDNST,17.74564755,1971
SPPOPGROW,52.8,1971
ENURBLCTY,27.89757412,1971
ENURBLCTYURZS,75.43859649,1971
SPPOPTOTLFEZS,50,1971
SEPRMDURS,100,1971
SEPRMAGES,1,1971
SPRURTOTL,14.59854015,1971
SPRURTOTLZS,23.33333333,1971
SESECDURS,1,1971
SESECAGES,100,1971
AGSRFTOTLK2,1,1971
SPDYNTO65FEZS,21.83098592,1971
SPDYNTO65MAZS,17.89883268,1971
ITMLTMAIN,0.684990153,1971
ITMLTMAINP2,0.202655486,1971
SPURBTOTL,21.66666667,1971
SPURBTOTLINZS,76.66666667,1971
SPURBGROW,49.21135647,1971
NYADJDNGYCD,0.301144383,1972
NYADJDMINCD,0.033726237,1972
SPADOTFRT,80.75072185,1972
SPPOPDPND,95.97069597,1972
SPPOPDPNDOL,43.68421053,1972
SPPOPDPNDYG,95.75971731,1972
SPDYNCBRTIN,66.80672269,1972
